,ltt,lgt,land_no,cluster
1192,13.900830552426916,100.7094916446892,68451,8
1193,13.900794256212343,100.7094973627834,68452,8
1194,13.900756143253885,100.7095024826464,68453,8
1195,13.900727367474104,100.70935576842656,68454,8
1196,13.90076911315351,100.70935144944444,68455,8
1197,13.90080500414306,100.70934599534218,68456,8
1198,13.90084036619138,100.70933927612847,68457,8
1199,13.900876739705918,100.70933271853733,68458,8
1200,13.900912308183658,100.70932714379369,68459,8
1201,13.900948144529975,100.70931818428777,68460,8
1202,13.900985415582191,100.70931500485442,68461,8
1203,13.901020931795832,100.7093081238562,68462,8
1204,13.901056424664436,100.70930357507154,68463,8
1205,13.901097172062157,100.70929593265676,68464,8
1206,13.900726332835314,100.7099599951234,69229,19
1207,13.90072733759789,100.7099265052022,69230,19
1208,13.900724507296374,100.70989590171966,69231,19
1209,13.900719680539876,100.70986496340647,69232,19
1210,13.900716222048104,100.7098328831348,69233,19
1211,13.9007128407207,100.70980060889914,69234,19
1212,13.90070560228199,100.70976853860029,69235,19
1213,13.900702652302536,100.70973697905563,69236,19
1214,13.900697710578571,100.70970310173524,69237,19
1215,13.900480677155812,100.70971754147186,69238,19
1216,13.900483128507618,100.70975117205296,69239,19
1217,13.900488072965617,100.70978181805091,69240,19
1218,13.900485068286809,100.70981523376598,69241,19
1219,13.9004886887556,100.70984749775344,69242,19
1220,13.900490481784196,100.70987913441658,69243,19
1221,13.90049208387581,100.70991112539627,69244,19
1222,13.900494035329285,100.7099423390695,69245,19
1223,13.90049491262318,100.7099763461776,69246,19
1224,13.900350836687444,100.70998541917628,69247,19
1225,13.900348898687652,100.70995118946486,69248,19
1226,13.900345259853912,100.70992001057714,69249,19
1227,13.900345221012708,100.709887699965,69250,19
1228,13.90034265625565,100.70985676890152,69251,19
1229,13.900342143280652,100.70982375996206,69252,19
1230,13.900338730764554,100.70979163568413,69253,19
1231,13.90033578158906,100.7097612272944,69254,19
1232,13.900335043073964,100.70972589323122,69255,19
1233,13.900123571683338,100.70973898735154,69256,19
1234,13.90012453781416,100.70977516822066,69257,19
1235,13.900125335166472,100.70980577414876,69258,19
1236,13.900127826609284,100.7098381910521,69259,19
1237,13.90012859395657,100.7098709629536,69260,19
1238,13.900129899764064,100.7099017006134,69261,19
1239,13.90013137373628,100.70993346605488,69262,19
1240,13.900133520705504,100.70996583837984,69263,19
1241,13.900133968835396,100.7099995378134,69264,19
1242,13.899989747152585,100.71000822443789,69265,19
1243,13.899986942294646,100.70997417473605,69266,19
1244,13.899988385997332,100.70994233655924,69267,19
1245,13.899984117891538,100.7099113317162,69268,19
1246,13.899982523327354,100.7098794164105,69269,19
1247,13.899982834491018,100.70984704144932,69270,19
1248,13.899980085070798,100.70981547421908,69271,19
1249,13.899978313823386,100.70978494017228,69272,19
1250,13.899976667702829,100.70974905725804,69273,19
1251,13.899762713726904,100.70976128785372,69274,19
1252,13.899763178053162,100.70979691107436,69275,19
1253,13.899764978707111,100.7098272204865,69276,19
1254,13.89976468313251,100.70985916605188,69277,19
1255,13.899766325381272,100.70989148019314,69278,19
1256,13.899768549187,100.70992391750607,69279,19
1257,13.899768562762922,100.7099567754702,69280,19
1258,13.899770872048787,100.70998698889242,69281,19
1259,13.899773021733385,100.71001969500075,69282,19
1260,13.900593132566398,100.70984045245172,69476,19
1261,13.900234146202743,100.70986521316614,69477,19
1262,13.899872660655058,100.70988467075249,69478,19
1263,13.900393992120478,100.71020799906496,69491,19
1264,13.900852052732931,100.7101829183183,69497,19
1265,13.900804181994983,100.71018099892942,69498,19
1266,13.90076840956635,100.71018449903364,69499,19
1267,13.900732603670065,100.71018707774462,69500,19
1268,13.900695894163762,100.71018861631376,69501,19
1269,13.900659960486015,100.71019149495427,69502,19
1270,13.900623951376089,100.7101915875494,69503,19
1271,13.900587897917084,100.71019586382498,69504,19
1272,13.900552125273816,100.7101983141135,69505,19
1273,13.900515592605576,100.71020088145684,69506,19
1274,13.900479079063732,100.7102029426164,69507,19
1275,13.90043704905908,100.71020602570631,69508,19
1276,13.900351318732469,100.71021162670972,69509,19
1277,13.900308097872804,100.71021527075266,69510,19
1278,13.90027242884854,100.71021508807004,69511,19
1279,13.900236772089611,100.710218743305,69512,19
